Typologie,Régime de vitesse,Voie,Arrondissement,Bois,Longueur du tronçon en m,latitude,longitude
Couloirs de bus ouverts aux vélos,VOIE 50,RUE D ALESIA,14.0,Non,20.46900938,48.830427261777196,2.3194064569556447
Couloirs de bus ouverts aux vélos,VOIE 50,RUE LABROUSTE,15.0,Non,76.59134375,48.83349955111081,2.3077966132715275
Couloirs de bus ouverts aux vélos,VOIE 50,RUE LECOURBE,15.0,Non,174.81984531,48.84463270874898,2.309404859163523
Couloirs de bus ouverts aux vélos,VOIE 50,RUE CAMBRONNE,15.0,Non,164.90892775,48.84455674368625,2.302181776341345
Couloirs de bus ouverts aux vélos,VOIE 50,RUE DE LA CONVENTION,15.0,Non,46.21213073,48.8439493348571,2.2815486170187125
Couloirs de bus ouverts aux vélos,VOIE 50,AVENUE EMILE ZOLA,15.0,Non,38.98172668,48.84610396759502,2.2778201739906954
Bandes cyclables,VOIE 50,AVENUE FOCH,16.0,Non,32.05314754,48.8725993452163,2.284582207365211
Bandes cyclables,VOIE 50,PLACE DU MARECHAL DE LATTRE DE TASSIGNY,16.0,Non,49.19048787,48.87226252503472,2.274543550224948
Couloirs de bus ouverts aux vélos,VOIE 50,AVENUE MONTAIGNE,8.0,Non,111.4718971,48.865265046196384,2.302824765643308
Pistes cyclables,VOIE 50,BOULEVARD DE L AMIRAL BRUIX,16.0,Non,26.5102048,48.87666856622788,2.2825221184528477
Pistes cyclables,VOIE 50,Place de Colombie,16.0,Non,133.84823209,48.863201512186485,2.267447293298803
Couloirs de bus ouverts aux vélos,VOIE 50,BOULEVARD DE L AMIRAL BRUIX,16.0,Non,117.61368257,48.875501349565745,2.280343334207667
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),VOIE 50,AVENUE GEORGES MENDEL,16.0,Non,33.03407935,48.863785040454935,2.279615246051066
Pistes cyclables,VOIE 50,AVENUE DE SAINT CLOUD,16.0,Bois de Boulogne,24.98208203,48.862603059721025,2.26424813225234
Couloirs de bus ouverts aux vélos,VOIE 50,PONT DE GRENELLE,15.0,Non,124.32523129,48.84991548371997,2.2804843454655495
Pistes cyclables,VOIE 50,AVENUE HENRI MARTIN,16.0,Non,15.75307005,48.864344946723676,2.275070332103572
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE GUSTAVE COURBET,16.0,Non,153.13860023,48.866708513777446,2.2813257870887753
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,PLACE POSSOZ,16.0,Non,33.43573786,48.8593356454965,2.2770426977454576
Pistes cyclables,VOIE 50,ALLEE DE LONGCHAMP,16.0,Bois de Boulogne,569.32736222,48.873613510299435,2.2677670522287268
Pistes cyclables,VOIE 50,BOULEVARD AUGUSTE BLANQUI,13.0,Non,46.4004003,48.83140630679963,2.3417683960097144
Bandes cyclables,ZONE DE RENCONTRE,RUE DES CINQ DIAMANTS,13.0,Non,29.09225454,48.82790523738803,2.3496422230388205
Pistes cyclables,VOIE 50,BOULEVARD SAINT JACQUES,14.0,Non,36.42074193,48.831845187807566,2.3405316659451483
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE MONTBRUN,14.0,Non,64.24710959,48.82929161439973,2.32998335596262
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE BEZOUT,14.0,Non,56.93861852,48.82891874405166,2.3306386952523432
Couloirs de bus ouverts aux vélos,VOIE 50,AVENUE DE L OBSERVATOIRE,14.0,Non,99.55439799,48.83903571801194,2.3365246829641606
Pistes cyclables,VOIE 50,AVENUE DENFERT ROCHEREAU,14.0,Non,7.37271981,48.83762165306745,2.3356967809509896
Pistes cyclables,ZONE 30,RUE DE LA TOMBE ISSOIRE,14.0,Non,33.83639366,48.83047633170433,2.334255336762789
Bandes cyclables,ZONE 30,RUE HALLE,14.0,Non,92.5934543,48.830699324248805,2.3321814993395686
Bandes cyclables,ZONE 30,RUE HALLE,14.0,Non,33.42726238,48.82865792847866,2.3311495957537156
Couloirs de bus ouverts aux vélos,VOIE 30,BOULEVARD ARAGO,13.0,Non,137.12290775,48.83543107226569,2.34741501470414
Couloirs de bus ouverts aux vélos,VOIE 50,BOULEVARD SAINT GERMAIN,5.0,Non,13.53614121,48.85132384714638,2.343236052969633
Couloirs de bus ouverts aux vélos,VOIE 50,BOULEVARD SAINT GERMAIN,5.0,Non,50.92811472,48.85101150739883,2.344480713325258
Couloirs de bus ouverts aux vélos,VOIE 50,PLACE DU 25 AOUT 1944,14.0,Non,59.95425059,48.822465074698584,2.3255145663222225
Couloirs de bus ouverts aux vélos,VOIE 50,BOULEVARD DES INVALIDES,7.0,Non,24.46796818,48.84826640668179,2.315660822861141
Couloirs de bus ouverts aux vélos,VOIE 50,BOULEVARD SAINT GERMAIN,7.0,Non,58.83697894,48.85577158805106,2.3263669942821106
Pistes cyclables,VOIE 50,QUAI DES CELESTINS,4.0,Non,6.26821086,48.85298644730473,2.3590328049640616
Pistes cyclables,VOIE 50,BOULEVARD MORLAND,4.0,Non,72.70884386,48.84930370316034,2.3642980904428343
Pistes cyclables,VOIE 30,BOULEVARD DES INVALIDES,7.0,Non,187.54410008,48.852696797149335,2.314776061249177
Bandes cyclables,ZONE 30,RUE DE LA TOMBE ISSOIRE,14.0,Non,7.49222835,48.82556806659288,2.331594572960494
Bandes cyclables,ZONE 30,RUE SARRETTE,14.0,Non,54.35706809,48.82571506744211,2.3279662315003717
Bandes cyclables,ZONE 30,RUE SARRETTE,14.0,Non,12.65891373,48.82554165205887,2.327592963174016
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE SARRETTE,14.0,Non,40.96939781,48.82756668806676,2.332082312455357
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE MARGUERIN,14.0,Non,91.87000855,48.827349062308684,2.3286612728988607
Pistes cyclables,VOIE 50,BOULEVARD MORLAND,4.0,Non,9.5692194,48.84962565605083,2.3640231711841535
Couloirs de bus ouverts aux vélos,VOIE 50,BOULEVARD HENRI IV,4.0,Non,70.86276922,48.85028997733224,2.3594879045979114
Bandes cyclables,ZONE 30,RUE PAVEE,4.0,Non,11.80827084,48.85559195664683,2.3601826640674135
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE DU ROI DE SICILE,4.0,Non,61.44634844,48.856142122936966,2.35864494503324
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE DE RENCONTRE,RUE SAINTE CROIX DE LA BRETONNERIE,4.0,Non,38.90260009,48.85771400860542,2.3573334781444037
Couloirs de bus ouverts aux vélos,VOIE 50,BOULEVARD BEAUMARCHAIS,3.0,Non,80.38071505,48.85813155479992,2.3678400005194824
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE DE RENCONTRE,RUE DU TEMPLE,4.0,Non,59.3853534,48.86013669290008,2.354571673207402
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),AIRE PIETONNE,RUE SAINT ANTOINE,4.0,Non,172.19268367,48.85513326786146,2.3607507730897677
Bandes cyclables,ZONE 30,RUE NECKER,4.0,Non,40.22439922,48.855366363937115,2.363196995349944
Bandes cyclables,VOIE 50,COURS ALBERT 1ER,8.0,Non,38.98616284,48.864932297148144,2.3094769356952196
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE DE RENCONTRE,RUE DE MOUSSY,4.0,Non,125.75574781,48.85765633188916,2.35565626114012
